Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
1,1,28.0,0,0,0.06929138530460492,1,0,1
1,2,21.0,0,0,0.020494635090094415,0,0,1
0,3,28.5,0,0,0.014110458666029575,1,0,0
1,2,5.0,1,2,0.05416439273810667,0,0,1
0,3,11.0,5,2,0.09154270340242172,1,0,1
0,3,22.0,0,0,0.014110458666029575,1,0,0
1,1,38.0,0,0,0.15614960068643363,0,0,0
0,1,45.0,1,0,0.16293234896625058,1,0,1
0,3,4.0,3,2,0.05445717323939373,1,0,1
0,1,28.0,0,0,0.05410739813385612,1,0,0
1,3,28.0,1,1,0.029757819776815374,1,0,0
1,2,29.0,0,0,0.020494635090094415,0,0,1
0,3,19.0,0,0,0.015923941091001644,1,0,1
1,3,17.0,4,2,0.015468569817999833,0,0,1
0,3,26.0,2,0,0.016908073949327893,1,0,1
0,2,32.0,0,0,0.020494635090094415,1,0,1
0,3,16.0,5,2,0.09154270340242172,0,0,1
0,2,21.0,0,0,0.1434624456306609,1,0,1
0,3,26.0,1,0,0.028212719478023115,1,0,0
1,3,32.0,0,0,0.11027245763075773,1,0,1
0,3,25.0,0,0,0.014931805565640218,1,0,1
0,3,28.0,0,0,0.015411575213749284,1,0,1
0,3,28.0,0,0,0.015712553569072387,1,0,1
1,2,0.83,0,2,0.056604230248832196,1,0,1
1,3,30.0,0,0,0.024349578357040744,0,0,1
0,3,22.0,0,0,0.017566830077223785,1,0,1
1,3,29.0,0,0,0.018542765081513996,1,0,1
1,3,28.0,0,0,0.015200187691820024,0,1,0
0,1,28.0,0,0,0.09193307740413781,1,0,1
1,2,17.0,0,0,0.020494635090094415,0,0,1
1,3,33.0,3,0,0.030937139635999665,0,0,1
0,3,16.0,1,3,0.06709553154495196,1,0,1
0,3,28.0,0,0,0.015712553569072387,1,0,1
1,1,23.0,3,2,0.5133418122566505,0,0,1
0,3,24.0,0,0,0.015712553569072387,1,0,1
0,3,29.0,0,0,0.015712553569072387,1,0,1
0,3,20.0,0,0,0.015330377421392339,1,0,1
0,1,46.0,1,0,0.11940564777490723,1,0,1
0,3,26.0,1,2,0.04015972542654215,1,0,1
0,3,59.0,0,0,0.014151057562208049,1,0,1
0,3,28.0,0,0,0.015712553569072387,1,0,1
0,1,71.0,0,0,0.06764049365134761,1,0,0
1,1,23.0,0,1,0.12366716556464086,1,0,0
1,2,34.0,0,1,0.04489301019734967,0,0,1
0,2,34.0,1,0,0.050748620223090936,1,0,1
0,3,28.0,0,0,0.015411575213749284,0,0,1
0,3,28.0,0,0,0.015411575213749284,1,0,1
0,1,21.0,0,1,0.15085515328815924,1,0,1
0,3,33.0,0,0,0.016891873428256675,1,0,1
0,3,37.0,2,0,0.015468569817999833,1,0,1
0,3,28.0,0,0,0.015411575213749284,1,0,1
1,3,21.0,0,0,0.014931805565640218,0,0,1
1,3,28.0,0,0,0.015175789316712771,1,0,1
0,3,38.0,0,0,0.015411575213749284,1,0,1
1,3,28.0,1,0,0.04713766070721715,0,1,0
0,1,47.0,0,0,0.10149724044618187,1,0,1
0,3,14.5,1,0,0.028212719478023115,0,0,0
0,3,22.0,0,0,0.015712553569072387,1,0,1
0,3,20.0,1,0,0.019177122834302632,0,0,1
0,3,17.0,0,0,0.028220722145058292,0,0,0
0,3,21.0,0,0,0.015468569817999833,1,0,1
0,3,70.5,0,0,0.015126992566498259,1,1,0
0,2,29.0,1,0,0.04098927018018883,1,0,1
0,1,24.0,0,1,0.4831284260198326,1,0,0
0,3,2.0,4,2,0.06104473451835265,0,0,1
0,2,21.0,2,0,0.1434624456306609,1,0,1
0,3,28.0,0,0,0.015712553569072387,1,0,1
0,2,32.5,1,0,0.058694292654020104,1,0,0
1,2,32.5,0,0,0.025374310111545468,0,0,1
0,1,54.0,0,1,0.15085515328815924,1,0,1
1,3,12.0,1,0,0.021942337075458514,1,0,0
0,3,28.0,0,0,0.015126992566498259,1,1,0
1,3,24.0,0,0,0.01393967004027879,1,0,1
1,3,28.0,1,1,0.04364049521284361,0,0,0
0,3,45.0,0,0,0.013614293309848433,1,0,1
0,3,33.0,0,0,0.015411575213749284,1,0,0
0,3,20.0,0,0,0.013760683560491965,1,0,1
0,3,47.0,1,0,0.028302115124416098,0,0,1
1,2,29.0,1,0,0.050748620223090936,0,0,1
0,2,25.0,0,0,0.025374310111545468,1,0,1
0,2,23.0,0,0,0.02936744577509929,1,0,0
1,1,19.0,0,2,0.051301584996521765,0,0,1
0,1,37.0,1,0,0.10364429745562033,1,0,1
0,3,16.0,0,0,0.01798980030808316,1,0,1
0,1,24.0,0,0,0.15458810467956932,1,0,0
0,3,28.0,0,2,0.029757819776815374,0,0,0
1,3,22.0,0,0,0.015126992566498259,0,0,1
1,3,24.0,1,0,0.030937139635999665,0,0,1
0,3,19.0,0,0,0.013175122557917838,1,1,0
0,2,18.0,0,0,0.022446505098674834,1,0,1
0,2,19.0,1,1,0.07173122281533045,1,0,1
1,3,27.0,0,0,0.015216388212891242,1,0,1
0,3,9.0,2,2,0.06709553154495196,0,0,1
0,2,36.5,0,2,0.050748620223090936,1,0,1
0,2,42.0,0,0,0.025374310111545468,1,0,1
0,2,51.0,0,0,0.02444717185746977,1,0,1
1,1,22.0,1,0,0.12999454257145598,0,0,1
0,3,55.5,0,0,0.015712553569072387,1,0,1
0,3,40.5,0,2,0.028302115124416098,1,0,1
0,3,28.0,0,0,0.014273049437744325,1,0,1
0,1,51.0,0,1,0.11980421963065935,1,0,0
1,3,16.0,0,0,0.015094396337354966,0,1,0
0,3,30.0,0,0,0.015712553569072387,1,0,1
0,3,28.0,0,0,0.016908073949327893,1,0,1
0,3,28.0,8,2,0.13575255909676823,1,0,1
0,3,44.0,0,1,0.031425107138144774,1,0,1
1,2,40.0,0,0,0.030741952635141623,0,0,1
0,3,26.0,0,0,0.015175789316712771,1,0,1
0,3,17.0,0,0,0.016908073949327893,1,0,1
0,3,1.0,4,1,0.07746484096553544,1,0,1
1,3,9.0,0,2,0.04006213192611313,1,0,1
1,1,28.0,0,1,0.10735285047192313,0,0,1
0,3,45.0,1,4,0.05445717323939373,0,0,1
0,1,28.0,0,0,0.050602229972447406,1,0,1
0,3,28.0,0,0,0.11027245763075773,1,0,1
0,1,61.0,0,0,0.06538764528744409,1,0,1
0,3,4.0,4,1,0.056848213999904744,1,1,0
1,3,1.0,1,1,0.021730754366528396,0,0,1
0,3,21.0,0,0,0.015468569817999833,1,0,1
0,1,56.0,0,0,0.05991421140938287,1,0,0
0,3,18.0,1,1,0.015330377421392339,1,0,1
0,3,28.0,3,1,0.04970768794751499,1,0,1
0,1,50.0,0,0,0.05604306762136532,0,0,0
0,2,30.0,0,0,0.025374310111545468,1,0,1
0,3,36.0,0,0,0.0,1,0,1
0,3,28.0,8,2,0.13575255909676823,0,0,1
0,2,28.0,0,0,0.02937564362913533,1,0,0
0,3,9.0,4,2,0.061264319894317944,1,0,1
1,2,1.0,2,1,0.0761229303346364,1,0,1
1,3,4.0,0,2,0.04298993693898376,0,0,1
0,1,28.0,0,0,0.09759350042902103,1,0,1
1,3,28.0,1,0,0.030253985132996517,0,1,0
1,1,45.0,0,0,0.051822148727810165,1,0,1
0,3,40.0,1,1,0.030253985132996517,1,1,0
0,3,36.0,0,0,0.015411575213749284,1,0,1
1,2,32.0,0,0,0.025374310111545468,0,0,1
0,2,19.0,0,0,0.025374310111545468,1,0,1
1,3,19.0,1,0,0.015330377421392339,0,0,1
1,2,3.0,1,1,0.050748620223090936,1,0,1
1,1,44.0,0,0,0.05410739813385612,0,0,0
1,1,58.0,0,0,0.2859895551532101,0,0,0
0,3,28.0,0,0,0.015126992566498259,1,1,0
0,3,42.0,0,1,0.01640390592611157,1,0,1
1,3,28.0,0,0,0.015126992566498259,0,1,0
0,2,24.0,0,0,0.025374310111545468,0,0,1
0,3,28.0,0,0,0.018542765081513996,1,0,1
0,3,28.0,8,2,0.13575255909676823,1,0,1
0,3,34.0,0,0,0.012678957201736696,1,0,1
0,3,45.5,0,0,0.014102260811993537,1,0,0
1,3,18.0,0,0,0.015712553569072387,1,0,1
0,3,2.0,0,1,0.02042143996477265,0,0,1
0,3,32.0,1,0,0.030937139635999665,1,0,1
1,3,26.0,0,0,0.036670757786204655,1,0,0
1,3,16.0,0,0,0.015126992566498259,0,1,0
1,1,40.0,0,0,0.060507970265993034,1,0,0
0,3,24.0,0,0,0.013760683560491965,1,0,1
1,2,35.0,0,0,0.04098927018018883,0,0,1
0,3,22.0,0,0,0.014151057562208049,1,0,1
0,2,30.0,0,0,0.025374310111545468,1,0,1
0,3,28.0,1,0,0.015126992566498259,1,1,0
1,1,31.0,1,0,0.22109807522194713,0,0,0
1,3,27.0,0,0,0.015468569817999833,0,0,1
0,2,42.0,1,0,0.05270049023167135,1,0,1
1,1,32.0,0,0,0.14891148113361488,0,0,0
0,2,30.0,0,0,0.020494635090094415,1,0,1
1,3,16.0,0,0,0.015712553569072387,1,0,1
0,2,27.0,0,0,0.025374310111545468,1,0,1
0,3,51.0,0,0,0.015712553569072387,1,0,1
0,3,28.0,0,0,0.015411575213749284,1,0,1
1,1,38.0,1,0,0.17566830077223786,1,0,1
0,3,22.0,0,0,0.01824998458022693,1,0,1
1,2,19.0,0,0,0.020494635090094415,1,0,1
0,3,20.5,0,0,0.014151057562208049,1,0,1
0,2,18.0,0,0,0.025374310111545468,1,0,1
0,3,28.0,3,1,0.04970768794751499,0,0,1
1,1,35.0,1,0,0.16293234896625058,0,0,1
0,3,29.0,0,0,0.015175789316712771,1,0,1
0,2,59.0,0,0,0.026350245115835676,1,0,1
1,3,5.0,4,2,0.061264319894317944,0,0,1
0,2,24.0,0,0,0.020494635090094415,1,0,1
0,3,28.0,0,0,0.014736618564782174,0,0,1
0,2,44.0,1,0,0.050748620223090936,1,0,1
1,2,8.0,0,2,0.05123658772523604,0,0,1
0,2,19.0,0,0,0.020494635090094415,1,0,1
0,2,33.0,0,0,0.023959204355324663,1,0,1
0,3,28.0,1,0,0.028212719478023115,0,0,0
1,3,28.0,1,0,0.030253985132996517,0,1,0
0,2,29.0,0,0,0.020494635090094415,1,0,1
0,3,22.0,0,0,0.013907073811135496,1,0,1
0,3,30.0,0,0,0.014102260811993537,1,0,0
0,1,44.0,2,0,0.17566830077223786,1,1,0
0,3,25.0,0,0,0.015175789316712771,0,0,1
1,2,24.0,0,2,0.028302115124416098,0,0,1
1,1,37.0,1,1,0.10257896680493714,1,0,1
0,2,54.0,1,0,0.050748620223090936,1,0,1
0,3,28.0,0,0,0.014151057562208049,1,0,1
0,3,29.0,1,1,0.02042143996477265,0,0,1
0,1,62.0,0,0,0.051822148727810165,1,0,1
0,3,30.0,1,0,0.031425107138144774,1,0,1
0,3,41.0,0,2,0.039452172548431745,0,0,1
1,3,29.0,0,2,0.029757819776815374,0,0,0
1,1,28.0,0,0,0.15458810467956932,0,0,0
1,1,30.0,0,0,0.16883675574220638,0,0,1
1,1,35.0,0,0,1.0,0,0,0
1,2,50.0,0,1,0.050748620223090936,0,0,1
0,3,28.0,0,0,0.015126992566498259,1,1,0
1,3,3.0,4,2,0.061264319894317944,1,0,1
0,1,52.0,1,1,0.1554664461834305,1,0,1
0,1,40.0,0,0,0.0,1,0,1
0,3,28.0,0,0,0.015126992566498259,0,1,0
0,2,36.0,0,0,0.020494635090094415,1,0,1
0,3,16.0,4,1,0.07746484096553544,1,0,1
1,3,25.0,1,0,0.015175789316712771,1,0,1
1,1,58.0,0,1,0.2995388511917728,0,0,1
1,1,35.0,0,0,0.2647385704347907,0,0,1
0,1,28.0,0,0,0.060507970265993034,1,0,1
1,3,25.0,0,0,0.0,1,0,1
1,2,41.0,0,1,0.0380614651673182,0,0,1
0,1,37.0,0,1,0.057970539254838485,1,0,0
1,3,28.0,0,0,0.015126992566498259,0,1,0
1,1,63.0,1,0,0.15216446768991498,0,0,1
0,3,45.0,0,0,0.015126992566498259,0,0,1
0,2,28.0,0,0,0.0,1,0,1
0,3,7.0,4,1,0.056848213999904744,1,1,0
1,3,35.0,1,1,0.03952536767375352,0,0,1
0,3,65.0,0,0,0.015126992566498259,1,1,0
0,3,28.0,0,0,0.015330377421392339,1,0,1
0,3,16.0,0,0,0.018542765081513996,1,0,1
1,3,19.0,0,0,0.015712553569072387,1,0,1
0,1,28.0,0,0,0.050748620223090936,1,0,1
0,3,33.0,0,0,0.016908073949327893,1,0,0
1,3,30.0,0,0,0.018542765081513996,1,0,1
0,3,22.0,0,0,0.015411575213749284,1,0,1
1,2,42.0,0,0,0.025374310111545468,1,0,1
1,3,22.0,0,0,0.015126992566498259,0,1,0
1,1,26.0,0,0,0.15390495017656614,0,0,1
1,1,19.0,1,0,0.17777475888549785,0,0,0
0,2,36.0,0,0,0.025130326360472913,1,0,0
0,3,24.0,0,0,0.01727404957593672,0,0,1
0,3,24.0,0,0,0.015411575213749284,1,0,1
0,1,28.0,0,0,0.05410739813385612,1,0,0
0,3,23.5,0,0,0.014110458666029575,1,0,0
0,1,2.0,1,2,0.29580589980036276,0,0,1
1,1,28.0,0,0,0.05953203526170282,1,0,1
1,1,50.0,0,1,0.4831284260198326,0,0,0
1,3,28.0,0,0,0.015126992566498259,0,1,0
1,3,28.0,2,0,0.04538097769949478,1,1,0
0,3,19.0,0,0,0.0,1,0,1
1,2,28.0,0,0,0.024105594605968193,0,1,0
0,3,28.0,0,0,0.015712553569072387,1,0,1
1,1,0.92,1,2,0.29580589980036276,1,0,1
1,1,28.0,0,0,0.21642978772242535,0,0,0
1,1,17.0,1,0,0.2125586439344078,0,0,0
0,2,30.0,1,0,0.04684488020593009,1,0,0
1,1,30.0,0,0,0.11111839809247648,0,0,0
1,1,24.0,0,0,0.16231419173453318,0,0,0
1,1,18.0,2,2,0.5121218935012878,0,0,0
0,2,26.0,1,1,0.050748620223090936,0,0,1
0,3,28.0,0,0,0.015411575213749284,1,0,1
0,2,43.0,1,1,0.05123658772523604,1,0,1
1,3,26.0,0,0,0.015330377421392339,0,0,1
1,2,24.0,1,0,0.050748620223090936,0,0,1
0,2,54.0,0,0,0.027326180120125887,1,0,1
1,1,31.0,0,2,0.32179836714362564,0,0,1
1,1,40.0,1,1,0.2625265161540666,0,0,0
0,3,22.0,0,0,0.014151057562208049,1,0,1
0,3,27.0,0,0,0.015411575213749284,1,0,1
1,2,30.0,0,0,0.024105594605968193,0,1,0
1,2,22.0,1,1,0.056604230248832196,0,0,1
0,3,28.0,8,2,0.13575255909676823,1,0,1
1,1,36.0,0,0,0.2647385704347907,0,0,0
0,3,61.0,0,0,0.012174789178520372,1,0,1
1,2,36.0,0,0,0.025374310111545468,0,0,1
1,3,31.0,1,1,0.04006213192611313,0,0,1
1,1,16.0,0,1,0.11316786160148591,0,0,0
1,3,28.0,2,0,0.04538097769949478,0,1,0
0,1,45.5,0,0,0.055628295244541985,1,0,1
0,1,38.0,0,1,0.2995388511917728,1,0,1
0,3,16.0,2,0,0.03513366015444757,1,0,1
1,1,28.0,1,0,0.2608674266467732,0,0,1
0,3,28.0,0,0,0.015411575213749284,1,0,1
0,1,29.0,1,0,0.12999454257145598,1,0,1
1,1,41.0,0,0,0.2625265161540666,0,0,0
1,3,45.0,0,0,0.015712553569072387,1,0,1
0,1,45.0,0,0,0.06929138530460492,1,0,1
1,2,2.0,1,1,0.050748620223090936,1,0,1
1,1,24.0,3,2,0.5133418122566505,0,0,1
0,2,28.0,0,0,0.025374310111545468,1,0,1
0,2,25.0,0,0,0.025374310111545468,1,0,1
0,2,36.0,0,0,0.025374310111545468,1,0,1
1,2,24.0,0,0,0.025374310111545468,0,0,1
1,2,40.0,0,0,0.025374310111545468,0,0,1
1,3,28.0,1,0,0.031425107138144774,0,0,1
1,3,3.0,1,1,0.031034733136428686,1,0,1
0,3,42.0,0,0,0.016908073949327893,1,0,1
0,3,23.0,0,0,0.01800600082915438,1,0,1
0,1,28.0,0,0,0.06831545030031472,1,0,1
0,3,15.0,1,1,0.014110458666029575,1,0,0
0,3,25.0,1,0,0.034743286152731485,1,0,1
0,3,28.0,0,0,0.014102260811993537,1,0,0
0,3,28.0,0,0,0.018542765081513996,1,0,1
1,1,22.0,0,1,0.10735285047192313,0,0,1
0,2,38.0,0,0,0.025374310111545468,0,0,1
1,3,28.0,0,0,0.01537917417160685,0,1,0
1,3,28.0,0,0,0.01537917417160685,0,1,0
0,3,40.0,1,4,0.05445717323939373,1,0,1
0,2,29.0,1,0,0.05410739813385612,1,0,0
0,3,45.0,0,1,0.028212719478023115,0,0,0
0,3,35.0,0,0,0.013760683560491965,1,0,1
0,3,28.0,1,0,0.030253985132996517,1,1,0
0,3,30.0,0,0,0.014151057562208049,1,0,1
1,1,60.0,1,0,0.14687821814567664,0,0,0
1,3,28.0,0,0,0.014110458666029575,0,0,0
1,3,28.0,0,0,0.015126992566498259,0,1,0
1,1,24.0,0,0,0.13526459159462315,0,0,0
1,1,25.0,1,0,0.1082149914547131,1,0,0
0,3,18.0,1,0,0.012678957201736696,1,0,1
0,3,19.0,0,0,0.015712553569072387,1,0,1
0,1,22.0,0,0,0.2647385704347907,1,0,0
0,3,3.0,3,1,0.04113566043083236,0,0,1
1,1,28.0,1,0,0.16038672010106,0,0,0
1,3,22.0,0,0,0.014151057562208049,0,0,1
0,1,27.0,0,2,0.41282050681475896,1,0,0
0,3,20.0,0,0,0.007831878409428937,1,0,0
0,3,19.0,0,0,0.015175789316712771,1,0,1
1,1,42.0,0,0,0.4440992237022602,0,0,0
1,3,1.0,0,2,0.030725752114070404,0,0,0
0,3,32.0,0,0,0.015468569817999833,1,0,1
1,1,35.0,1,0,0.10149724044618187,0,0,1
0,3,28.0,0,0,0.015411575213749284,1,0,1
0,2,18.0,0,0,0.1434624456306609,1,0,1
0,3,1.0,5,2,0.09154270340242172,1,0,1
1,2,36.0,0,0,0.025374310111545468,0,0,1
0,3,28.0,0,0,0.015086393670319786,1,1,0
1,2,17.0,0,0,0.023422440102965045,0,0,0
1,1,36.0,1,2,0.23422440102965045,1,0,1
1,3,21.0,0,0,0.015216388212891242,1,0,1
0,3,28.0,2,0,0.015468569817999833,1,0,1
1,1,23.0,1,0,0.22109807522194713,0,0,0
1,3,24.0,0,2,0.03259622914329302,0,0,1
0,3,22.0,0,0,0.015216388212891242,1,0,1
0,3,31.0,0,0,0.015330377421392339,0,0,1
0,2,46.0,0,0,0.050748620223090936,1,0,1
0,2,23.0,0,0,0.020494635090094415,1,0,1
1,2,28.0,0,0,0.02469115560854232,0,0,1
1,3,39.0,0,0,0.015468569817999833,1,0,1
0,3,26.0,0,0,0.015712553569072387,1,0,1
0,3,21.0,1,0,0.019177122834302632,0,0,1
0,3,28.0,1,0,0.030937139635999665,1,0,1
0,3,20.0,0,0,0.016908073949327893,0,0,1
0,2,34.0,1,0,0.04098927018018883,1,0,1
0,3,51.0,0,0,0.015126992566498259,1,0,1
1,2,3.0,1,1,0.03659756266088288,1,0,1
0,3,21.0,0,0,0.015175789316712771,1,0,1
0,3,28.0,3,1,0.04970768794751499,0,0,1
0,3,28.0,0,0,0.015411575213749284,1,0,1
0,3,28.0,0,0,0.013386510079847098,1,1,0
1,1,33.0,1,0,0.17566830077223786,0,1,0
0,2,28.0,0,0,0.0,1,0,1
1,3,44.0,0,0,0.015468569817999833,1,0,1
0,3,28.0,0,0,0.015712553569072387,0,0,1
1,2,34.0,1,1,0.06343577527886367,0,0,1
1,2,18.0,0,2,0.025374310111545468,0,0,1
0,2,30.0,0,0,0.025374310111545468,1,0,1
0,3,10.0,0,2,0.04713766070721715,0,0,1
0,3,28.0,0,0,0.015411575213749284,1,0,0
0,3,21.0,0,0,0.015094396337354966,1,1,0
0,3,29.0,0,0,0.015370976317570811,1,0,1
0,3,28.0,1,1,0.028106928123558056,0,0,1
0,3,18.0,1,1,0.039452172548431745,1,0,1
0,3,28.0,0,0,0.014151057562208049,1,0,1
1,2,28.0,1,0,0.050748620223090936,0,0,1
1,2,19.0,0,0,0.050748620223090936,0,0,1
0,3,28.0,0,0,0.015126992566498259,1,1,0
1,3,32.0,0,0,0.015712553569072387,1,0,1
1,1,28.0,0,0,0.051822148727810165,1,0,1
1,3,28.0,1,0,0.031425107138144774,0,0,1
1,2,42.0,1,0,0.050748620223090936,0,0,1
0,3,17.0,0,0,0.013907073811135496,1,0,1
0,1,50.0,1,0,0.1091095334796455,1,0,1
1,1,14.0,1,2,0.23422440102965045,0,0,1
0,3,21.0,2,2,0.06709553154495196,0,0,1
1,2,24.0,2,3,0.03659756266088288,0,0,1
0,1,64.0,1,4,0.5133418122566505,1,0,1
0,2,31.0,0,0,0.020494635090094415,1,0,1
1,2,45.0,1,1,0.05123658772523604,0,0,1
0,3,20.0,0,0,0.018542765081513996,1,0,1
0,3,25.0,1,0,0.015175789316712771,1,0,1
1,2,28.0,0,0,0.025374310111545468,0,0,1
1,3,28.0,0,0,0.015834545444608664,1,0,1
1,1,4.0,0,2,0.15977676072337862,1,0,1
1,2,13.0,0,1,0.0380614651673182,0,0,1
1,1,34.0,0,0,0.051822148727810165,1,0,1
1,3,5.0,2,1,0.03758969818624431,0,0,0
1,1,52.0,0,0,0.05953203526170282,1,0,1
0,2,36.0,1,2,0.05416439273810667,1,0,1
0,3,28.0,1,0,0.03897240290032268,1,0,1
0,1,30.0,0,0,0.05416439273810667,1,0,0
1,1,49.0,1,0,0.17391981561855152,1,0,0
0,3,28.0,0,0,0.015712553569072387,1,0,1
1,3,29.0,0,0,0.015411575213749284,1,0,0
0,1,65.0,0,0,0.051822148727810165,1,0,1
1,1,28.0,1,0,0.10122885832000206,0,0,1
1,2,50.0,0,0,0.020494635090094415,0,0,1
0,3,28.0,0,0,0.015126992566498259,1,1,0
1,1,48.0,0,0,0.051822148727810165,1,0,1
0,3,34.0,0,0,0.015712553569072387,1,0,1
0,1,47.0,0,0,0.07514699533034619,1,0,1
0,2,48.0,0,0,0.025374310111545468,1,0,1
0,3,28.0,0,0,0.015712553569072387,1,0,1
0,3,38.0,0,0,0.013760683560491965,1,0,1
0,2,28.0,0,0,0.0,1,0,1
0,1,56.0,0,0,0.051822148727810165,1,0,1
0,3,28.0,0,0,0.015078195816283748,1,1,0
1,3,0.75,2,1,0.03758969818624431,0,0,0
0,3,28.0,0,0,0.014151057562208049,1,0,1
0,3,38.0,0,0,0.016908073949327893,1,0,1
1,2,33.0,1,2,0.05416439273810667,0,0,1
1,2,23.0,0,0,0.026919605597338588,0,0,0
0,3,22.0,0,0,0.019201521209409888,0,0,1
0,1,28.0,0,0,0.10149724044618187,1,0,1
0,2,34.0,1,0,0.04098927018018883,1,0,1
0,3,29.0,1,0,0.013752485706455927,1,0,1
0,3,22.0,0,0,0.014679623960531627,1,0,1
1,3,2.0,0,1,0.023983602730431916,0,0,1
0,3,9.0,5,2,0.09154270340242172,1,0,1
0,2,28.0,0,0,0.0,1,0,1
0,3,50.0,0,0,0.015712553569072387,1,0,1
1,3,63.0,0,0,0.018713553707264782,0,0,1
1,1,25.0,1,0,0.17777475888549785,1,0,0
0,3,28.0,3,1,0.04970768794751499,0,0,1
1,1,35.0,1,0,0.17566830077223786,0,0,1
0,1,58.0,0,0,0.057970539254838485,1,0,0
0,3,30.0,0,0,0.015712553569072387,1,0,1
1,3,9.0,1,1,0.031034733136428686,1,0,1
0,3,28.0,1,0,0.03897240290032268,1,0,1
0,3,21.0,0,0,0.014151057562208049,1,0,1
0,1,55.0,0,0,0.05953203526170282,1,0,1
0,1,71.0,0,0,0.09662576327876685,1,0,0
0,3,21.0,0,0,0.015712553569072387,1,0,1
0,3,28.0,0,0,0.028220722145058292,1,0,0
1,1,54.0,1,0,0.1527664244005612,0,0,0
0,3,28.0,0,0,0.029473237129564348,1,0,1
0,1,25.0,1,2,0.29580589980036276,0,0,1
0,3,24.0,0,0,0.015216388212891242,1,0,1
0,3,17.0,0,0,0.016908073949327893,1,0,1
0,3,21.0,0,0,0.015126992566498259,0,1,0
0,3,28.0,0,0,0.014891206669461744,0,1,0
0,3,37.0,0,0,0.018713553707264782,0,0,1
1,1,16.0,0,0,0.16883675574220638,0,0,1
0,1,18.0,1,0,0.2125586439344078,1,0,0
1,2,33.0,0,2,0.050748620223090936,0,0,1
1,1,28.0,0,0,0.051822148727810165,1,0,1
0,3,28.0,0,0,0.04396587194327397,1,0,1
1,3,26.0,0,0,0.11027245763075773,1,0,1
1,3,29.0,0,0,0.015126992566498259,1,1,0
0,3,28.0,0,0,0.015712553569072387,1,0,1
1,1,36.0,0,0,0.05130978285055781,1,0,1
1,1,54.0,1,0,0.11594107850967697,0,0,0
0,3,24.0,0,0,0.014630827210317115,1,0,1
0,1,47.0,0,0,0.06640417918791278,1,0,1
